,mean,sd,eti94_lb,eti94_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
"means[4, 1]",0.550036347798649,0.0288639391967931,0.49219546213590865,0.5910296798552546,6.3395845028464946,14.448149435423785,1.2447847645806434,0.012097666914148075,0.008016068642980169
"means[4, 2]",-0.2665381930932157,0.02671552920585669,-0.30101229425748494,-0.19422637851457084,4.436663091772504,5.212458153129934,1.3900982150283643,0.012873827709018243,0.012054404616895218
"means[4, 3]",-0.18892778709857613,0.04339995704245009,-0.2608451145284637,-0.12216361696646251,2.8312135441291804,6.3814163773129176,1.9381300935280443,0.027217838098291897,0.011943328011596472
"means[4, 4]",0.874873295856165,5.054786705232241e-07,0.8748723940210679,0.874874250281674,95.44583749908782,131.9989301818942,1.0306526867978296,5.155964965994229e-08,3.2978796231236284e-08
"means[4, 5]",0.32301951756990266,0.03345760580422598,0.2744251711650636,0.37878978239370004,2.435633071050535,5.162232125197372,2.5729538997627293,0.022391749924398626,0.009490961340701298
"means[4, 6]",-0.0766288331671271,0.048602730212048945,-0.12836662698143278,-0.0010632483201977504,2.6357087170435736,7.262749737797621,2.1238378721020843,0.033414613828695656,0.009788982451961553
"means[4, 7]",0.4320174075836587,0.03439063338736028,0.40107888710389206,0.5008973714037143,2.621899758207849,5.033051102456333,2.160914204113129,0.023261898064542305,0.011970610771657555
"sigmas[0, 0]",1.2815240126285161,0.3490277790257501,0.9328008590821125,1.724361550358416,2.503304947758626,4.948857844631318,2.350169651999456,0.24459932508947796,0.031262123801771
"sigmas[0, 1]",1.127382219365201,0.19310245065816908,0.9083617689175852,1.4347825944533816,2.5444335440545864,5.616233418875232,2.266132801729727,0.13347539671762623,0.03565887780218894
"sigmas[0, 2]",1.339689549430383,0.5079923428631956,0.8084372219718565,1.9733035326430266,2.5303343238853033,6.974292776584733,2.351767768042478,0.35532317918132283,0.03851200936989558
"sigmas[0, 3]",1.4199069231337929,0.4782417543380211,0.9355047448738825,1.96664217746837,2.841094792480991,11.532983598247323,1.9623059109379357,0.3348092446578305,0.02487005297259548
"sigmas[0, 4]",0.6089904798044539,0.011496858438231363,0.5891280003596897,0.6254021462493987,3.1161632438905102,9.556383839175872,1.7528537093909604,0.006828390366142943,0.002988937309772243
"sigmas[0, 5]",1.0367973261197962,0.02610118994800362,0.9752109771502151,1.0876703850223546,12.11962624900675,10.199561082684921,1.2557730674526137,0.007420480983397388,0.0059720307208600025
"sigmas[0, 6]",1.0248604334615492,0.08647675130091541,0.9172470960364413,1.1692345245080944,2.553994660909041,6.336248829371206,2.3087005885776124,0.05921561548427629,0.022042146178042798
"sigmas[0, 7]",1.3055415489509827,0.35501404512039536,0.8951018480707817,1.7246754116033356,2.4255230992155106,6.097589539205713,2.638661431173825,0.2485882667267395,0.02999096554182714
"sigmas[1, 0]",0.7108924980342413,0.036416794811948004,0.6494501968063878,0.7770566509576582,15.841377520787946,66.56849978874209,1.1193534216760936,0.009368289139703228,0.005234721793512151
"sigmas[1, 1]",0.6443970727532928,0.02871767436492665,0.5969659180256519,0.7014044146816496,113.83560992418573,157.82239930982416,1.0438543750079512,0.0027022706830344854,0.0019166177805481088
"sigmas[1, 2]",0.7210918878834243,0.04863837305678656,0.6422893912116158,0.822846988358836,12.972171547015837,42.137973173015816,1.1386039194269977,0.014138255047757377,0.010064499440779565
"sigmas[1, 3]",0.8901511347100677,0.06608993834024396,0.795306013384713,1.0347634382170972,3.194805297321171,14.268377388826332,1.702254365225703,0.03767204264968645,0.024534566413144467
"sigmas[1, 4]",5.800036777375807e-13,4.970716319946862e-13,2.3464868301454608e-14,1.8023343027360924e-12,47.79001075514839,40.855000509930086,1.0371798237164833,6.089760732520636e-14,8.114122075714484e-14
"sigmas[1, 5]",0.9048845132448368,0.1266779137833655,0.7563566035024856,1.0881973557224693,2.577210514855502,5.223563848879234,2.207063294859269,0.08764629550069691,0.018862654757513052
"sigmas[1, 6]",1.069128010089551,0.04997032242533861,0.9949265015033795,1.1740234057550611,17.195914129971378,30.964800307181026,1.0718798446350606,0.012607661739664258,0.008208146225236078
"sigmas[1, 7]",1.1119583620107172,0.057264514952560866,1.0072981221649706,1.2185091577456006,70.02575441592106,466.44030760851,1.0445909892593228,0.006815833311237231,0.004497535000978366
"sigmas[2, 0]",2.030374258621588,0.24959313010142795,1.370394105680872,2.302505160602456,7.227323674695415,5.073596921952133,1.8155988941734091,0.11855836868863655,0.11609383806206611
"sigmas[2, 1]",0.24861375460733917,0.018554552104941408,0.22834723186024644,0.269928899323736,2.5717824526139834,4.913387754989577,2.2227403121146034,0.013001982982662579,0.0010294997398434225
"sigmas[2, 2]",4.547007501908966,0.0965484340243899,4.38773950909545,4.746066793624598,3.4663694257994626,5.456731034902941,1.6226476251777504,0.05716754687312354,0.03591299943254918
"sigmas[2, 3]",2.194431355550318,0.6988016408563466,1.3076338452231144,2.9232410671238633,2.5310563588144155,6.0546098529167836,2.296707296738611,0.4858880358333351,0.07577166033254325
"sigmas[2, 4]",0.013272156642784985,0.0006615970371995509,0.012601039898912116,0.014140875119286791,2.8506364735231315,17.712304272680868,1.9144057001153452,0.00045956961214069746,7.17216504242877e-05
"sigmas[2, 5]",1.408500578700685,0.6838820435498559,0.6972100883814767,2.1246518415355515,2.6377181403195817,6.1580968761167165,2.127553760175479,0.47984095415701566,0.0124867676625083
"sigmas[2, 6]",1.4682122471893158,0.8914068059437842,0.5235119386488696,2.3709980278251956,2.888100320095297,6.765888811643545,1.862229322592383,0.6254244051863574,0.015436772898228174
"sigmas[2, 7]",1.3047484013327741,0.6704020475770832,0.6362858064194116,2.181598640871358,2.50587656839763,5.205936894925873,2.3773690486679677,0.46900014259274,0.05903616302921845
"sigmas[3, 0]",0.5433270624324918,0.0584241859656285,0.448874312421898,0.6698199483107636,3.2484946223507953,5.1965354934109556,1.6764529509529906,0.033460478685851475,0.02277803046917809
"sigmas[3, 1]",1.000239832454441,0.0841291075189124,0.8286703993445645,1.087365407607773,2.5903113155487496,6.828729668629441,2.266368829822455,0.052533534299974365,0.029276807368302377
"sigmas[3, 2]",0.5870108254200503,0.053207951595982024,0.4647329455497325,0.6390062693885402,2.9877851908298827,5.928465711965538,2.2031266925674386,0.03388878700566929,0.023202851917961613
"sigmas[3, 3]",0.6443278570120256,0.21629404153516052,0.34797868881203375,0.9822670555941537,2.3206844516255383,5.20952981657695,2.920241741628247,0.15002722750127678,0.053279586523576325
"sigmas[3, 4]",1.1430244419743222e-12,1.2366193665476571e-12,2.251462276117064e-14,4.188200017986521e-12,1821.5996460974288,550.9502367166726,1.0015042870959698,2.835710666166309e-14,4.3309016941059753e-14
"sigmas[3, 5]",1.1220473321090016,0.0981767627994418,0.9518915761320372,1.3225447412174967,6.397606729035681,29.279162931202812,1.2484250883028787,0.038619431326315914,0.02648569780812297
"sigmas[3, 6]",1.488852429551178,0.445999508845281,0.9416147708836055,2.095402599885069,2.5798279394556083,4.869918860863378,2.241469034154901,0.3104225482094291,0.06835366200511821
"sigmas[3, 7]",1.042531911855585,0.2545228480702305,0.6984045524215557,1.3925555576667696,2.569437311823415,4.919318057281015,2.2324770930289093,0.17559554254861132,0.04723883961269224
"sigmas[4, 0]",0.6321683001244243,0.020191721757795135,0.610743390522007,0.673174330037388,2.53166783308561,4.955309119623627,2.2806062683553523,0.013411281271906843,0.008276864522913898
"sigmas[4, 1]",0.7524783650761184,0.025188267107880472,0.7083894145064071,0.7988005960175548,3.7734163772008698,6.159640784109908,1.508338774693166,0.013069090098796088,0.007540454140294478
"sigmas[4, 2]",0.6588149043961892,0.020616596017250948,0.6051521419719121,0.6811302523760987,9.028378909800505,20.9596794666972,1.4853329652907756,0.00866447770527431,0.007145349779031384
"sigmas[4, 3]",0.7463434175327603,0.020638137852960543,0.6996932485918991,0.787133182526882,3.4527935493480673,5.91614427197704,1.7834987182281123,0.011189672229176223,0.009418612776979408
"sigmas[4, 4]",3.3223923430235545e-13,3.0153605675167186e-13,3.4991605272257285e-14,1.1050379134052566e-12,11.059739317282384,20.253126681112164,1.1345924810673262,8.985274044403805e-14,1.0426772835816976e-13
"sigmas[4, 5]",0.9337387754264821,0.01164798207871176,0.9142723357260949,0.9539864358386686,3.3343714487318907,12.81885559599247,1.6859645009296298,0.006620374472374118,0.00342135670931973
"sigmas[4, 6]",0.9960298237905942,0.03356153917907743,0.9467404955331413,1.0562015215038896,4.7645963801600635,13.132353333062223,1.3544946213189952,0.01608284359639979,0.007718014687772869
"sigmas[4, 7]",0.9124280263759611,0.013715153560926485,0.8938755802492662,0.9309671678138718,2.9345231120105835,12.647406339582218,1.8549261074628347,0.009406633106530208,0.002202534990576454
